Max, 9625, Obj, 375, Reliability, 93.33334%, HowOften, 28, When, 75.17857
Generation, Min, Avg, Max, Obj
0, -24871.73, 6111.763, 9544.634, 455.3667
1, 9398.333, 9441.786, 9560.167, 439.8333
2, 9424.7, 9460.877, 9566.033, 433.9667
3, 9441.1, 9473.675, 9572.566, 427.4333
4, 9453.533, 9483.638, 9577.9, 422.1
5, 9463.066, 9491.481, 9582.4, 417.6
6, 9471.1, 9498.34, 9589.767, 410.2333
7, 9477.866, 9504.396, 9591.467, 408.5333
8, 9483.733, 9509.491, 9593.6, 406.4
9, 9489.167, 9514.025, 9595.066, 404.9333
10, 9493.934, 9518.416, 9599.733, 400.2667
11, 9498.6, 9522.349, 9601.3, 398.7
12, 9502.634, 9526.01, 9604.5, 395.5
13, 9506.4, 9529.971, 9606.2, 393.8
14, 9510.4, 9533.395, 9607.8, 392.2
15, 9513.6, 9536.52, 9608.4, 391.6
16, 9516.967, 9539.618, 9609.1, 390.9
17, 9520.2, 9542.848, 9610.233, 389.7667
18, 9523.033, 9545.812, 9611.033, 388.9667
19, 9526.333, 9548.638, 9611.134, 388.8667
20, 9529.3, 9551.267, 9611.267, 388.7333
21, 9532.434, 9553.768, 9613.4, 386.6
22, 9535.233, 9556.197, 9614.033, 385.9667
23, 9538.2, 9558.576, 9614.767, 385.2333
24, 9541, 9560.964, 9615.866, 384.1333
25, 9543.4, 9563.254, 9616.134, 383.8667
26, 9545.733, 9565.308, 9616.634, 383.3667
27, 9547.866, 9567.279, 9617.167, 382.8333
28, 9550.3, 9569.141, 9617.6, 382.4
29, 9552.467, 9570.923, 9618.366, 381.6333
30, 9554.566, 9572.619, 9618.5, 381.5
31, 9556.767, 9574.562, 9618.8, 381.2
32, 9558.733, 9576.196, 9619.167, 380.8333
33, 9560.934, 9577.817, 9619.4, 380.6
34, 9562.866, 9579.547, 9620.3, 379.7
35, 9564.9, 9581.16, 9620.3, 379.7
36, 9566.866, 9582.689, 9620.3, 379.7
37, 9568.733, 9584.174, 9620.467, 379.5333
38, 9570.7, 9585.725, 9620.467, 379.5333
39, 9572.566, 9587.218, 9620.767, 379.2333
40, 9574.3, 9588.615, 9621.033, 378.9667
41, 9575.934, 9589.868, 9621.033, 378.9667
42, 9577.733, 9591.252, 9621.5, 378.5
43, 9579.733, 9592.604, 9621.7, 378.3
44, 9581.3, 9593.739, 9621.7, 378.3
45, 9582.566, 9594.94, 9621.9, 378.1
46, 9584.1, 9595.876, 9621.9, 378.1
47, 9585.4, 9596.822, 9622, 378
48, 9586.434, 9597.768, 9622.233, 377.7667
49, 9587.533, 9598.716, 9622.233, 377.7667
50, 9588.9, 9599.639, 9622.467, 377.5333
51, 9590.267, 9600.52, 9622.767, 377.2333
52, 9591.333, 9601.409, 9622.833, 377.1667
53, 9592.6, 9602.228, 9622.833, 377.1667
54, 9593.566, 9603.093, 9622.833, 377.1667
55, 9594.533, 9603.843, 9622.9, 377.1
56, 9595.6, 9604.675, 9622.9, 377.1
57, 9596.434, 9605.431, 9622.9, 377.1
58, 9597.3, 9606.174, 9622.9, 377.1
59, 9598.066, 9606.957, 9623.134, 376.8667
60, 9599.3, 9607.681, 9623.134, 376.8667
61, 9600.233, 9608.434, 9623.134, 376.8667
62, 9601.267, 9609.098, 9623.233, 376.7667
63, 9602.434, 9609.757, 9623.233, 376.7667
64, 9603.667, 9610.369, 9623.233, 376.7667
65, 9604.333, 9610.92, 9623.267, 376.7333
66, 9605.1, 9611.427, 9623.3, 376.7
67, 9605.833, 9611.864, 9623.3, 376.7
68, 9606.533, 9612.354, 9623.3, 376.7
69, 9607, 9612.79, 9623.3, 376.7
70, 9607.733, 9613.247, 9623.3, 376.7
71, 9608.6, 9613.702, 9623.3, 376.7
72, 9609.033, 9614.113, 9623.3, 376.7
73, 9609.667, 9614.496, 9623.3, 376.7
74, 9610.5, 9614.874, 9623.333, 376.6667
75, 9610.967, 9615.215, 9623.333, 376.6667
76, 9611.5, 9615.515, 9623.333, 376.6667
77, 9611.833, 9615.877, 9623.434, 376.5667
78, 9612.3, 9616.158, 9623.434, 376.5667
79, 9612.8, 9616.443, 9623.467, 376.5333
80, 9613.2, 9616.701, 9623.467, 376.5333
81, 9613.533, 9616.989, 9623.467, 376.5333
82, 9613.833, 9617.282, 9623.6, 376.4
83, 9614.333, 9617.511, 9623.6, 376.4
84, 9614.833, 9617.737, 9623.6, 376.4
85, 9615.134, 9617.959, 9623.634, 376.3667
86, 9615.6, 9618.165, 9623.634, 376.3667
87, 9615.767, 9618.338, 9623.634, 376.3667
88, 9616.033, 9618.531, 9623.634, 376.3667
89, 9616.333, 9618.733, 9623.634, 376.3667
90, 9616.467, 9618.89, 9623.634, 376.3667
91, 9616.566, 9619.067, 9623.634, 376.3667
92, 9616.967, 9619.241, 9623.634, 376.3667
93, 9617.566, 9619.384, 9623.634, 376.3667
94, 9617.634, 9619.501, 9623.634, 376.3667
95, 9617.833, 9619.604, 9623.634, 376.3667
96, 9617.9, 9619.707, 9623.767, 376.2333
97, 9617.967, 9619.819, 9623.767, 376.2333
98, 9618.134, 9619.952, 9623.767, 376.2333
99, 9618.366, 9620.081, 9623.767, 376.2333
100, 9618.5, 9620.176, 9623.767, 376.2333
101, 9618.733, 9620.309, 9623.767, 376.2333
102, 9618.9, 9620.396, 9623.767, 376.2333
103, 9618.967, 9620.524, 9623.767, 376.2333
104, 9619.066, 9620.64, 9623.767, 376.2333
105, 9619.366, 9620.749, 9623.767, 376.2333
106, 9619.434, 9620.856, 9623.767, 376.2333
107, 9619.767, 9620.948, 9623.767, 376.2333
108, 9619.8, 9621.044, 9623.767, 376.2333
109, 9619.8, 9621.142, 9623.8, 376.2
110, 9620.033, 9621.251, 9623.8, 376.2
111, 9620.134, 9621.354, 9623.8, 376.2
112, 9620.167, 9621.469, 9623.8, 376.2
113, 9620.267, 9621.563, 9623.8, 376.2
114, 9620.467, 9621.666, 9623.8, 376.2
115, 9620.634, 9621.751, 9623.8, 376.2
116, 9620.667, 9621.832, 9623.8, 376.2
117, 9620.733, 9621.91, 9623.8, 376.2
118, 9620.934, 9622.01, 9623.8, 376.2
119, 9621.033, 9622.108, 9623.8, 376.2
120, 9621.134, 9622.203, 9623.833, 376.1667
121, 9621.333, 9622.307, 9623.833, 376.1667
122, 9621.467, 9622.392, 9623.833, 376.1667
123, 9621.8, 9622.462, 9623.866, 376.1333
124, 9621.8, 9622.52, 9623.866, 376.1333
125, 9621.9, 9622.598, 9624.066, 375.9333
126, 9622.033, 9622.65, 9624.066, 375.9333
127, 9622.033, 9622.702, 9624.066, 375.9333
128, 9622.033, 9622.765, 9624.066, 375.9333
129, 9622.233, 9622.817, 9624.066, 375.9333
130, 9622.267, 9622.869, 9624.066, 375.9333
131, 9622.267, 9622.927, 9624.066, 375.9333
132, 9622.267, 9623.003, 9624.066, 375.9333
133, 9622.333, 9623.073, 9624.066, 375.9333
134, 9622.467, 9623.132, 9624.066, 375.9333
135, 9622.467, 9623.175, 9624.066, 375.9333
136, 9622.467, 9623.229, 9624.066, 375.9333
137, 9622.667, 9623.293, 9624.066, 375.9333
138, 9623.066, 9623.357, 9624.066, 375.9333
139, 9623.1, 9623.386, 9624.066, 375.9333
140, 9623.1, 9623.409, 9624.066, 375.9333
141, 9623.167, 9623.444, 9624.066, 375.9333
142, 9623.167, 9623.474, 9624.066, 375.9333
143, 9623.167, 9623.503, 9624.066, 375.9333
144, 9623.2, 9623.549, 9624.066, 375.9333
145, 9623.4, 9623.585, 9624.066, 375.9333
146, 9623.434, 9623.601, 9624.066, 375.9333
147, 9623.434, 9623.616, 9624.066, 375.9333
148, 9623.434, 9623.638, 9624.066, 375.9333
149, 9623.533, 9623.66, 9624.066, 375.9333
150, 9623.533, 9623.674, 9624.066, 375.9333
151, 9623.533, 9623.693, 9624.066, 375.9333
152, 9623.634, 9623.706, 9624.066, 375.9333
153, 9623.634, 9623.713, 9624.066, 375.9333
154, 9623.634, 9623.721, 9624.066, 375.9333
155, 9623.634, 9623.728, 9624.066, 375.9333
156, 9623.634, 9623.735, 9624.066, 375.9333
157, 9623.634, 9623.744, 9624.066, 375.9333
158, 9623.634, 9623.761, 9624.066, 375.9333
159, 9623.667, 9623.772, 9624.066, 375.9333
160, 9623.667, 9623.781, 9624.066, 375.9333
161, 9623.667, 9623.795, 9624.134, 375.8667
162, 9623.667, 9623.809, 9624.134, 375.8667
163, 9623.767, 9623.818, 9624.134, 375.8667
164, 9623.8, 9623.822, 9624.233, 375.7667
165, 9623.8, 9623.825, 9624.233, 375.7667
166, 9623.8, 9623.828, 9624.233, 375.7667
167, 9623.8, 9623.83, 9624.233, 375.7667
168, 9623.8, 9623.832, 9624.233, 375.7667
169, 9623.8, 9623.834, 9624.233, 375.7667
170, 9623.8, 9623.838, 9624.233, 375.7667
171, 9623.8, 9623.84, 9624.233, 375.7667
172, 9623.8, 9623.844, 9624.233, 375.7667
173, 9623.8, 9623.849, 9624.233, 375.7667
174, 9623.833, 9623.854, 9624.233, 375.7667
175, 9623.833, 9623.854, 9624.233, 375.7667
176, 9623.833, 9623.855, 9624.233, 375.7667
177, 9623.833, 9623.857, 9624.233, 375.7667
178, 9623.833, 9623.859, 9624.233, 375.7667
179, 9623.833, 9623.86, 9624.233, 375.7667
180, 9623.833, 9623.862, 9624.233, 375.7667
181, 9623.833, 9623.864, 9624.233, 375.7667
182, 9623.833, 9623.866, 9624.233, 375.7667
183, 9623.833, 9623.873, 9624.233, 375.7667
184, 9623.833, 9623.875, 9624.233, 375.7667
185, 9623.833, 9623.884, 9624.233, 375.7667
186, 9623.833, 9623.888, 9624.233, 375.7667
187, 9623.833, 9623.89, 9624.267, 375.7333
188, 9623.833, 9623.896, 9624.267, 375.7333
189, 9623.833, 9623.904, 9624.267, 375.7333
190, 9623.833, 9623.915, 9624.267, 375.7333
191, 9623.833, 9623.925, 9624.267, 375.7333
192, 9623.833, 9623.934, 9624.267, 375.7333
193, 9623.833, 9623.943, 9624.267, 375.7333
194, 9623.833, 9623.955, 9624.267, 375.7333
195, 9623.833, 9623.963, 9624.267, 375.7333
196, 9623.833, 9623.969, 9624.267, 375.7333
197, 9623.833, 9623.983, 9624.267, 375.7333
198, 9623.833, 9624.004, 9624.267, 375.7333
199, 9623.833, 9624.027, 9624.267, 375.7333
200, 9623.833, 9624.059, 9624.267, 375.7333
201, 9623.866, 9624.097, 9624.267, 375.7333
202, 9623.866, 9624.15, 9624.267, 375.7333
203, 9624.134, 9624.172, 9624.267, 375.7333
204, 9624.134, 9624.181, 9624.267, 375.7333
205, 9624.134, 9624.189, 9624.267, 375.7333
206, 9624.134, 9624.198, 9624.267, 375.7333
207, 9624.134, 9624.21, 9624.267, 375.7333
208, 9624.134, 9624.225, 9624.267, 375.7333
209, 9624.134, 9624.241, 9624.267, 375.7333
