Max, 9279, Obj, 721, Reliability, 13.33333%, HowOften, 4, When, 324
Generation, Min, Avg, Max, Obj
124, 9132.934, 9156.594, 9228.233, 771.7667
125, 9133.967, 9157.392, 9229.3, 770.7
126, 9134.8, 9158.185, 9229.3, 770.7
127, 9135.7, 9159.134, 9230.2, 769.8
128, 9136.667, 9159.979, 9230.2, 769.8
129, 9137.467, 9160.626, 9230.2, 769.8
130, 9138.2, 9161.515, 9230.2, 769.8
131, 9139.1, 9162.433, 9230.366, 769.6334
132, 9139.934, 9163.16, 9230.366, 769.6334
133, 9140.767, 9164.038, 9230.833, 769.1667
134, 9141.566, 9164.692, 9231.033, 768.9667
135, 9142.3, 9165.443, 9231.5, 768.5
136, 9143.2, 9166.23, 9231.934, 768.0667
137, 9144.134, 9166.934, 9231.934, 768.0667
138, 9145, 9167.651, 9232.566, 767.4333
139, 9145.733, 9168.45, 9232.833, 767.1667
140, 9146.5, 9169.234, 9232.833, 767.1667
141, 9147.366, 9170.047, 9233.2, 766.8
142, 9148.333, 9170.766, 9233.333, 766.6667
143, 9149.033, 9171.681, 9234.8, 765.2
144, 9149.833, 9172.457, 9235.167, 764.8333
145, 9150.667, 9173.232, 9236.066, 763.9333
146, 9151.5, 9174.079, 9236.2, 763.8
147, 9152.066, 9174.714, 9236.2, 763.8
148, 9153.033, 9175.5, 9236.833, 763.1667
149, 9153.7, 9176.204, 9237.667, 762.3333
150, 9154.5, 9176.875, 9237.733, 762.2667
151, 9155.3, 9177.563, 9238.033, 761.9667
152, 9156.233, 9178.286, 9238.2, 761.8
153, 9157.167, 9179.054, 9238.566, 761.4333
154, 9157.9, 9179.714, 9238.566, 761.4333
155, 9158.566, 9180.371, 9239.066, 760.9333
156, 9159.267, 9181.134, 9239.3, 760.7
157, 9160, 9181.796, 9239.3, 760.7
158, 9160.767, 9182.37, 9239.3, 760.7
159, 9161.667, 9183.111, 9240.566, 759.4333
160, 9162.533, 9183.757, 9240.566, 759.4333
161, 9163.267, 9184.45, 9240.634, 759.3666
162, 9164.033, 9185.175, 9240.833, 759.1667
163, 9164.7, 9185.931, 9241.233, 758.7667
164, 9165.4, 9186.622, 9242.066, 757.9333
165, 9166.2, 9187.249, 9242.066, 757.9333
166, 9167.1, 9187.892, 9242.467, 757.5333
167, 9167.934, 9188.489, 9242.467, 757.5333
168, 9168.566, 9189.074, 9242.467, 757.5333
169, 9169.3, 9189.74, 9242.467, 757.5333
170, 9169.767, 9190.368, 9243.333, 756.6667
171, 9170.333, 9190.902, 9243.333, 756.6667
172, 9170.967, 9191.567, 9243.566, 756.4333
173, 9171.833, 9192.172, 9243.566, 756.4333
174, 9172.6, 9192.917, 9243.566, 756.4333
175, 9173.167, 9193.51, 9243.566, 756.4333
176, 9173.866, 9194.056, 9243.7, 756.3
177, 9174.6, 9194.674, 9243.967, 756.0333
178, 9175.1, 9195.33, 9244.134, 755.8666
179, 9175.967, 9195.979, 9244.167, 755.8333
180, 9176.767, 9196.531, 9244.3, 755.7
181, 9177.467, 9197.092, 9244.533, 755.4667
182, 9177.934, 9197.568, 9244.533, 755.4667
183, 9178.566, 9198.03, 9244.733, 755.2667
184, 9179.333, 9198.656, 9245, 755
185, 9179.9, 9199.241, 9245.134, 754.8666
186, 9180.866, 9199.851, 9245.434, 754.5667
187, 9181.6, 9200.518, 9245.434, 754.5667
188, 9182.134, 9201.09, 9245.434, 754.5667
189, 9182.733, 9201.691, 9245.434, 754.5667
190, 9183.5, 9202.221, 9245.5, 754.5
191, 9184.233, 9202.721, 9245.533, 754.4667
192, 9184.733, 9203.293, 9245.533, 754.4667
193, 9185.434, 9203.896, 9245.533, 754.4667
194, 9185.934, 9204.378, 9245.7, 754.3
195, 9186.733, 9205.009, 9245.7, 754.3
196, 9187.4, 9205.631, 9246.167, 753.8333
197, 9188.033, 9206.217, 9246.5, 753.5
198, 9188.9, 9206.771, 9246.533, 753.4667
199, 9189.533, 9207.315, 9246.533, 753.4667
200, 9190.134, 9207.825, 9246.8, 753.2
201, 9190.8, 9208.331, 9246.967, 753.0333
202, 9191.4, 9208.792, 9246.967, 753.0333
