Max, 99625, Obj, 375, Reliability, 100%, HowOften, 3, When, 45, bestRun, 1
Generation, Min, Avg, Max, Obj
144, 99622.66, 99622.6, 99625, 375
145, 99622.66, 99622.6, 99625, 375
146, 99622.66, 99622.6, 99625, 375
147, 99622.66, 99622.6, 99625, 375
148, 99622.66, 99622.6, 99625, 375
149, 99622.66, 99622.6, 99625, 375
150, 99622.66, 99622.6, 99625, 375
151, 99622.66, 99622.6, 99625, 375
152, 99622.66, 99622.6, 99625, 375
153, 99622.66, 99622.6, 99625, 375
154, 99622.66, 99622.6, 99625, 375
155, 99622.66, 99622.6, 99625, 375
156, 99622.66, 99622.6, 99625, 375
157, 99622.66, 99622.6, 99625, 375
158, 99622.66, 99622.6, 99625, 375
159, 99622.66, 99622.6, 99625, 375
160, 99622.66, 99622.6, 99625, 375
161, 99622.66, 99622.6, 99625, 375
162, 99622.66, 99622.6, 99625, 375
163, 99622.66, 99622.6, 99625, 375
164, 99622.66, 99622.6, 99625, 375
165, 99622.66, 99622.6, 99625, 375
166, 99622.66, 99622.6, 99625, 375
167, 99622.66, 99622.6, 99625, 375
168, 99622.66, 99622.63, 99625, 375
169, 99622.66, 99622.63, 99625, 375
170, 99622.66, 99622.63, 99625, 375
171, 99622.66, 99622.63, 99625, 375
172, 99622.66, 99622.63, 99625, 375
173, 99622.66, 99622.63, 99625, 375
174, 99622.66, 99622.63, 99625, 375
175, 99622.66, 99622.63, 99625, 375
176, 99622.66, 99622.63, 99625, 375
177, 99622.66, 99622.65, 99625, 375
178, 99622.66, 99622.66, 99625, 375
179, 99622.66, 99622.66, 99625, 375
180, 99622.66, 99622.66, 99625, 375
181, 99622.66, 99622.66, 99625, 375
182, 99622.66, 99622.66, 99625, 375
183, 99622.66, 99622.66, 99625, 375
184, 99622.66, 99622.68, 99625, 375
185, 99622.66, 99622.68, 99625, 375
186, 99622.66, 99622.68, 99625, 375
187, 99622.66, 99622.68, 99625, 375
188, 99622.66, 99622.68, 99625, 375
189, 99622.66, 99622.68, 99625, 375
190, 99622.66, 99622.69, 99625, 375
191, 99622.66, 99622.73, 99625, 375
192, 99622.66, 99622.73, 99625, 375
193, 99622.66, 99622.74, 99625, 375
194, 99622.66, 99622.74, 99625, 375
195, 99622.66, 99622.74, 99625, 375
196, 99622.66, 99622.74, 99625, 375
197, 99622.66, 99622.74, 99625, 375
198, 99622.66, 99622.74, 99625, 375
199, 99622.66, 99622.74, 99625, 375
200, 99622.66, 99622.76, 99625, 375
201, 99622.66, 99622.76, 99625, 375
202, 99622.66, 99622.76, 99625, 375
203, 99622.66, 99622.77, 99625, 375
204, 99622.66, 99622.79, 99625, 375
205, 99622.66, 99622.8, 99625, 375
206, 99622.66, 99622.84, 99625, 375
207, 99622.66, 99622.84, 99625, 375
208, 99622.66, 99622.84, 99625, 375
209, 99622.66, 99622.84, 99625, 375
210, 99622.66, 99622.85, 99625, 375
211, 99622.66, 99622.85, 99625, 375
212, 99622.66, 99622.85, 99625, 375
213, 99622.66, 99622.88, 99625, 375
214, 99622.66, 99622.88, 99625, 375
215, 99622.66, 99622.9, 99625, 375
216, 99622.66, 99622.93, 99625, 375
217, 99622.66, 99622.95, 99625, 375
218, 99622.66, 99622.98, 99625, 375
219, 99622.66, 99623, 99625, 375
220, 99622.66, 99623.02, 99625, 375
221, 99622.66, 99623.04, 99625, 375
222, 99622.66, 99623.06, 99625, 375
223, 99622.66, 99623.06, 99625, 375
224, 99622.66, 99623.07, 99625, 375
225, 99622.66, 99623.15, 99625, 375
226, 99622.66, 99623.19, 99625, 375
227, 99622.66, 99623.23, 99625, 375
228, 99622.66, 99623.26, 99625, 375
229, 99622.66, 99623.3, 99625, 375
230, 99622.66, 99623.35, 99625, 375
231, 99622.66, 99623.44, 99625, 375
232, 99622.66, 99623.48, 99625, 375
233, 99622.66, 99623.5, 99625, 375
234, 99622.66, 99623.54, 99625, 375
235, 99622.66, 99623.63, 99625, 375
236, 99622.66, 99623.7, 99625, 375
237, 99622.66, 99623.82, 99625, 375
238, 99622.66, 99623.95, 99625, 375
239, 99622.66, 99624.09, 99625, 375
240, 99622.66, 99624.16, 99625, 375
241, 99622.66, 99624.4, 99625, 375
242, 99622.66, 99624.54, 99625, 375
243, 99622.66, 99624.7, 99625, 375
244, 99625, 99624.84, 99625, 375
245, 99625, 99624.84, 99625, 375
246, 99625, 99624.84, 99625, 375
247, 99625, 99624.84, 99625, 375
248, 99625, 99624.84, 99625, 375
249, 99625, 99624.84, 99625, 375
250, 99625, 99624.84, 99625, 375
251, 99625, 99624.84, 99625, 375
252, 99625, 99624.84, 99625, 375
253, 99625, 99624.84, 99625, 375
254, 99625, 99624.84, 99625, 375
255, 99625, 99624.84, 99625, 375
256, 99625, 99624.84, 99625, 375
257, 99625, 99624.84, 99625, 375
258, 99625, 99624.84, 99625, 375
259, 99625, 99624.84, 99625, 375
260, 99625, 99624.84, 99625, 375
261, 99625, 99624.84, 99625, 375
262, 99625, 99624.84, 99625, 375
263, 99625, 99624.84, 99625, 375
264, 99625, 99624.84, 99625, 375
265, 99625, 99624.84, 99625, 375
266, 99625, 99624.84, 99625, 375
267, 99625, 99624.84, 99625, 375
268, 99625, 99624.84, 99625, 375
269, 99625, 99624.84, 99625, 375
270, 99625, 99624.84, 99625, 375
271, 99625, 99624.84, 99625, 375
272, 99625, 99624.84, 99625, 375
273, 99625, 99624.84, 99625, 375
274, 99625, 99624.84, 99625, 375
275, 99625, 99624.84, 99625, 375
276, 99625, 99624.84, 99625, 375
277, 99625, 99624.84, 99625, 375
278, 99625, 99624.84, 99625, 375
279, 99625, 99624.84, 99625, 375
280, 99625, 99624.84, 99625, 375
281, 99625, 99624.84, 99625, 375
282, 99625, 99624.84, 99625, 375
283, 99625, 99624.84, 99625, 375
284, 99625, 99624.84, 99625, 375
285, 99625, 99624.84, 99625, 375
286, 99625, 99624.84, 99625, 375
287, 99625, 99624.84, 99625, 375
288, 99625, 99624.84, 99625, 375
289, 99625, 99624.84, 99625, 375
290, 99625, 99624.84, 99625, 375
291, 99625, 99624.84, 99625, 375
292, 99625, 99624.84, 99625, 375
293, 99625, 99624.84, 99625, 375
294, 99625, 99624.84, 99625, 375
295, 99625, 99624.84, 99625, 375
296, 99625, 99624.84, 99625, 375
297, 99625, 99624.84, 99625, 375
298, 99625, 99624.84, 99625, 375
299, 99625, 99624.84, 99625, 375
300, 99625, 99624.84, 99625, 375
301, 99625, 99624.84, 99625, 375
302, 99625, 99624.84, 99625, 375
303, 99625, 99624.84, 99625, 375
304, 99625, 99624.84, 99625, 375
305, 99625, 99624.84, 99625, 375
306, 99625, 99624.84, 99625, 375
307, 99625, 99624.84, 99625, 375
308, 99625, 99624.84, 99625, 375
309, 99625, 99624.84, 99625, 375
310, 99625, 99624.84, 99625, 375
311, 99625, 99624.84, 99625, 375
312, 99625, 99624.84, 99625, 375
313, 99625, 99624.84, 99625, 375
314, 99625, 99624.84, 99625, 375
315, 99625, 99624.84, 99625, 375
316, 99625, 99624.84, 99625, 375
317, 99625, 99624.84, 99625, 375
318, 99625, 99624.84, 99625, 375
319, 99625, 99624.84, 99625, 375
320, 99625, 99624.84, 99625, 375
321, 99625, 99624.84, 99625, 375
322, 99625, 99624.84, 99625, 375
323, 99625, 99624.84, 99625, 375
324, 99625, 99624.84, 99625, 375
325, 99625, 99624.84, 99625, 375
326, 99625, 99624.84, 99625, 375
327, 99625, 99624.84, 99625, 375
328, 99625, 99624.84, 99625, 375
329, 99625, 99624.84, 99625, 375
330, 99625, 99624.84, 99625, 375
331, 99625, 99624.84, 99625, 375
332, 99625, 99624.84, 99625, 375
333, 99625, 99624.84, 99625, 375
334, 99625, 99624.84, 99625, 375
335, 99625, 99624.84, 99625, 375
336, 99625, 99624.84, 99625, 375
337, 99625, 99624.84, 99625, 375
338, 99625, 99624.84, 99625, 375
339, 99625, 99624.84, 99625, 375
340, 99625, 99624.84, 99625, 375
341, 99625, 99624.84, 99625, 375
342, 99625, 99624.84, 99625, 375
343, 99625, 99624.84, 99625, 375
344, 99625, 99624.84, 99625, 375
345, 99625, 99624.84, 99625, 375
346, 99625, 99624.84, 99625, 375
347, 99625, 99624.84, 99625, 375
348, 99625, 99624.84, 99625, 375
349, 99625, 99624.84, 99625, 375
350, 99625, 99624.84, 99625, 375
351, 99625, 99624.84, 99625, 375
352, 99625, 99624.84, 99625, 375
353, 99625, 99624.84, 99625, 375
354, 99625, 99624.84, 99625, 375
355, 99625, 99624.84, 99625, 375
356, 99625, 99624.84, 99625, 375
357, 99625, 99624.84, 99625, 375
358, 99625, 99624.84, 99625, 375
359, 99625, 99624.84, 99625, 375
360, 99625, 99624.84, 99625, 375
361, 99625, 99624.84, 99625, 375
362, 99625, 99624.84, 99625, 375
363, 99625, 99624.84, 99625, 375
364, 99625, 99624.84, 99625, 375
365, 99625, 99624.84, 99625, 375
366, 99625, 99624.84, 99625, 375
367, 99625, 99624.84, 99625, 375
368, 99625, 99624.84, 99625, 375
369, 99625, 99624.84, 99625, 375
370, 99625, 99624.84, 99625, 375
371, 99625, 99624.84, 99625, 375
372, 99625, 99624.84, 99625, 375
373, 99625, 99624.84, 99625, 375
374, 99625, 99624.84, 99625, 375
375, 99625, 99624.84, 99625, 375
376, 99625, 99624.84, 99625, 375
377, 99625, 99624.84, 99625, 375
378, 99625, 99624.84, 99625, 375
379, 99625, 99624.84, 99625, 375
380, 99625, 99624.84, 99625, 375
381, 99625, 99624.84, 99625, 375
382, 99625, 99624.84, 99625, 375
383, 99625, 99624.84, 99625, 375
384, 99625, 99624.84, 99625, 375
385, 99625, 99624.84, 99625, 375
386, 99625, 99624.84, 99625, 375
387, 99625, 99624.84, 99625, 375
388, 99625, 99624.84, 99625, 375
389, 99625, 99624.84, 99625, 375
390, 99625, 99624.84, 99625, 375
391, 99625, 99624.84, 99625, 375
392, 99625, 99624.84, 99625, 375
393, 99625, 99624.84, 99625, 375
394, 99625, 99624.84, 99625, 375
395, 99625, 99624.84, 99625, 375
396, 99625, 99624.84, 99625, 375
397, 99625, 99624.84, 99625, 375
398, 99625, 99624.84, 99625, 375
399, 99625, 99624.84, 99625, 375
