Max, 9466, Obj, 534, Reliability, 86.66666%, HowOften, 26, When, 139.1538
Generation, Min, Avg, Max, Obj
123, 9449.7, 9452.286, 9461.833, 538.1667
124, 9449.833, 9452.503, 9461.833, 538.1667
125, 9450.1, 9452.72, 9461.833, 538.1667
126, 9450.5, 9452.957, 9461.833, 538.1667
127, 9450.667, 9453.159, 9462.134, 537.8666
128, 9450.934, 9453.38, 9462.134, 537.8666
129, 9451.3, 9453.62, 9462.134, 537.8666
130, 9451.6, 9453.844, 9462.134, 537.8666
131, 9451.667, 9454.046, 9462.134, 537.8666
132, 9451.967, 9454.277, 9462.233, 537.7667
133, 9452.134, 9454.496, 9462.233, 537.7667
134, 9452.434, 9454.696, 9462.333, 537.6667
135, 9452.733, 9454.904, 9462.333, 537.6667
136, 9452.967, 9455.057, 9462.333, 537.6667
137, 9453.1, 9455.215, 9462.333, 537.6667
138, 9453.267, 9455.388, 9462.333, 537.6667
139, 9453.366, 9455.579, 9462.333, 537.6667
140, 9453.6, 9455.788, 9462.467, 537.5333
141, 9453.7, 9455.994, 9462.566, 537.4333
142, 9453.866, 9456.203, 9462.833, 537.1667
143, 9454.134, 9456.386, 9463, 537
144, 9454.434, 9456.593, 9463, 537
145, 9454.767, 9456.762, 9463, 537
146, 9454.9, 9456.94, 9463, 537
147, 9455.066, 9457.097, 9463, 537
148, 9455.267, 9457.272, 9463, 537
149, 9455.467, 9457.442, 9463.134, 536.8666
150, 9455.767, 9457.583, 9463.134, 536.8666
151, 9456.134, 9457.721, 9463.134, 536.8666
152, 9456.366, 9457.855, 9463.366, 536.6334
153, 9456.634, 9457.987, 9463.366, 536.6334
154, 9456.967, 9458.079, 9463.366, 536.6334
155, 9457.033, 9458.174, 9463.5, 536.5
156, 9457.2, 9458.26, 9463.5, 536.5
157, 9457.3, 9458.346, 9463.5, 536.5
158, 9457.3, 9458.432, 9463.5, 536.5
159, 9457.366, 9458.513, 9463.5, 536.5
160, 9457.434, 9458.609, 9463.5, 536.5
161, 9457.467, 9458.7, 9463.5, 536.5
162, 9457.566, 9458.806, 9463.5, 536.5
163, 9457.733, 9458.9, 9463.5, 536.5
164, 9457.833, 9458.997, 9463.634, 536.3666
165, 9457.967, 9459.088, 9463.733, 536.2667
166, 9458.134, 9459.184, 9463.733, 536.2667
167, 9458.233, 9459.246, 9463.733, 536.2667
168, 9458.434, 9459.326, 9463.733, 536.2667
169, 9458.5, 9459.397, 9463.733, 536.2667
170, 9458.533, 9459.462, 9464.033, 535.9667
171, 9458.634, 9459.547, 9464.033, 535.9667
172, 9458.733, 9459.639, 9464.033, 535.9667
173, 9458.733, 9459.726, 9464.033, 535.9667
174, 9458.866, 9459.794, 9464.033, 535.9667
175, 9458.934, 9459.864, 9464.033, 535.9667
176, 9458.934, 9459.954, 9464.033, 535.9667
177, 9458.934, 9460.048, 9464.033, 535.9667
178, 9459.233, 9460.151, 9464.033, 535.9667
179, 9459.366, 9460.237, 9464.033, 535.9667
180, 9459.4, 9460.304, 9464.033, 535.9667
181, 9459.533, 9460.378, 9464.033, 535.9667
182, 9459.733, 9460.447, 9464.033, 535.9667
183, 9459.833, 9460.495, 9464.134, 535.8666
184, 9459.866, 9460.545, 9464.134, 535.8666
185, 9459.866, 9460.592, 9464.134, 535.8666
186, 9459.967, 9460.644, 9464.267, 535.7333
187, 9460.033, 9460.692, 9464.267, 535.7333
188, 9460.1, 9460.754, 9464.267, 535.7333
189, 9460.1, 9460.79, 9464.267, 535.7333
190, 9460.134, 9460.844, 9464.267, 535.7333
191, 9460.2, 9460.903, 9464.267, 535.7333
192, 9460.267, 9460.958, 9464.267, 535.7333
193, 9460.267, 9461.015, 9464.267, 535.7333
194, 9460.267, 9461.079, 9464.267, 535.7333
195, 9460.3, 9461.137, 9464.267, 535.7333
196, 9460.333, 9461.203, 9464.267, 535.7333
197, 9460.366, 9461.265, 9464.267, 535.7333
198, 9460.533, 9461.34, 9464.267, 535.7333
199, 9460.566, 9461.401, 9464.267, 535.7333
200, 9460.634, 9461.466, 9464.267, 535.7333
201, 9460.733, 9461.536, 9464.267, 535.7333
202, 9460.967, 9461.613, 9464.267, 535.7333
203, 9461.066, 9461.669, 9464.267, 535.7333
204, 9461.066, 9461.735, 9464.267, 535.7333
205, 9461.267, 9461.798, 9464.267, 535.7333
206, 9461.333, 9461.858, 9464.267, 535.7333
207, 9461.434, 9461.92, 9464.267, 535.7333
208, 9461.5, 9461.975, 9464.434, 535.5667
209, 9461.5, 9462.024, 9464.434, 535.5667
210, 9461.6, 9462.067, 9464.434, 535.5667
211, 9461.6, 9462.119, 9464.434, 535.5667
212, 9461.667, 9462.183, 9464.434, 535.5667
213, 9461.767, 9462.248, 9464.434, 535.5667
214, 9461.9, 9462.287, 9464.434, 535.5667
215, 9461.967, 9462.331, 9464.434, 535.5667
216, 9462.066, 9462.362, 9464.434, 535.5667
217, 9462.066, 9462.388, 9464.434, 535.5667
218, 9462.1, 9462.417, 9464.434, 535.5667
219, 9462.1, 9462.447, 9464.434, 535.5667
220, 9462.1, 9462.503, 9464.434, 535.5667
221, 9462.167, 9462.536, 9464.434, 535.5667
222, 9462.2, 9462.568, 9464.434, 535.5667
223, 9462.233, 9462.599, 9464.434, 535.5667
224, 9462.233, 9462.639, 9464.533, 535.4667
225, 9462.3, 9462.673, 9464.533, 535.4667
226, 9462.4, 9462.71, 9464.533, 535.4667
227, 9462.434, 9462.743, 9464.533, 535.4667
228, 9462.467, 9462.761, 9464.533, 535.4667
229, 9462.533, 9462.771, 9464.533, 535.4667
230, 9462.533, 9462.782, 9464.533, 535.4667
231, 9462.533, 9462.792, 9464.533, 535.4667
